score,title,year,doi,url,authors,families,databases,citation_count
15,An Integrated World Modeling Theory (IWMT) of Consciousness: Combining Integrated Information and Global Neuronal Workspace Theories With the Free Energy Principle and Active Inference Framework; Toward Solving the Hard Problem and Characterizing Agentic Causation,2020,10.3389/frai.2020.00030,https://doi.org/10.3389/frai.2020.00030,Adam Safron,theory,Crossref,86
14,Integrated information and predictive processing theories of consciousness: An adversarial collaborative review,2026,10.1016/j.neubiorev.2026.106742,https://doi.org/10.1016/j.neubiorev.2026.106742,Andrew W. Corcoran; Andrew M. Haun; Reinder Dorman; Giulio Tononi; Karl J. Friston; Cyriel M.A. Pennartz,embodiment; theory,Crossref; arXiv,1
14,An Integrated World Modeling Theory (IWMT) of consciousness: Combining Integrated Information and Global Neuronal Workspace Theories with the Free Energy Principle and Active Inference Framework; towards solving the Hard problem and characterizing agentic causation,2019,10.31234/osf.io/j7n98,https://doi.org/10.31234/osf.io/j7n98,Adam Safron,theory,Crossref,
13,"Toward a standard model of consciousness: Reconciling the attention schema, global workspace, higher-order thought, and illusionist theories",2019,10.1080/02643294.2019.1670630,https://doi.org/10.1080/02643294.2019.1670630,Michael S. A. Graziano; Arvid Guterstam; Branden J. Bio; Andrew I. Wilterson,theory,Crossref,75
13,Integrating the global neuronal workspace into the framework of predictive processing: Towards a working hypothesis,2019,10.1016/j.concog.2019.102763,https://doi.org/10.1016/j.concog.2019.102763,Christopher J. Whyte,theory,Crossref,30
13,"GNW theoretical framework and the ""adversarial testing of global neuronal workspace and integrated information theories of consciousness""",2025,10.1093/nc/niaf037,https://pubmed.ncbi.nlm.nih.gov/41080705/,Naccache L; Sergent C; Dehaene S; Wang XJ; Farisco M; Changeux JP,theory,Crossref; PubMed,
12,"Are we ever aware of concepts? A critical question for the Global Neuronal Workspace, Integrated Information, and Attended Intermediate-Level Representation theories of consciousness",2015,10.1093/nc/niv006,https://doi.org/10.1093/nc/niv006,David Kemmerer,theory,Crossref,14
12,"Recurrent processing theory versus global neuronal workspace theory: a comment on ‘The relationship between attention and consciousness: an expanded taxonomy and implications for ‘no-report’ paradigms’ by Pitts
                    <i>et al</i>
                    .",2019,10.1098/rstb.2018.0517,https://doi.org/10.1098/rstb.2018.0517,Carlos Montemayor; Harry H. Haladjian,theory,Crossref,4
12,Gridography tractography reveals communication between key areas from global workspace and integrated information theories of consciousness,2025,10.1038/s41598-025-31016-y,https://doi.org/10.1038/s41598-025-31016-y,Nicolas Lori; José Machado,theory,Crossref,1
12,Machine Consciousness and the Global Workspace Theory,2019,10.31237/osf.io/vfy3e,https://doi.org/10.31237/osf.io/vfy3e,MohammadHossein Manuel Haqiqatkhah,theory,Crossref,1
12,Advanced tractography results agree with communication between Global Workspace and Integrated Information consciousness areas,2024,10.21203/rs.3.rs-4849652/v1,https://doi.org/10.21203/rs.3.rs-4849652/v1,Nicolas Lori; José Machado,theory,Crossref,
12,Adversarial testing of global neuronal workspace and integrated information theories of consciousness,2025,10.1038/s41586-025-08888-1,https://pubmed.ncbi.nlm.nih.gov/40307561/,Cogitate Consortium; Ferrante O; Gorska-Klimowska U; Henin S; Hirschhorn R; Khalaf A; Lepauvre A; Liu L; Richter D; Vidal Y; Bonacchi N; Brown T; Sripad P; Armendariz M; Bendtz K; Ghafari T; Hetenyi D; Jeschke J; Kozma C; Mazumder DR; Montenegro S; Seedat A; Sharafeldin A; Yang S; Baillet S; Chalmers DJ; Cichy RM; Fallon F; Panagiotaropoulos TI; Blumenfeld H; de Lange FP; Devore S; Jensen O; Kreiman G; Luo H; Boly M; Dehaene S; Koch C; Tononi G; Pitts M; Mudrik L; Melloni L,theory,PubMed,
12,Correction to: GNW theoretical framework and the “adversarial testing of global neuronal workspace and integrated information theories of consciousness”,2026,10.1093/nc/niag020,https://doi.org/10.1093/nc/niag020,,theory,Crossref,
12,GNW theoretical framework and the ‘Adversarial testing of global neuronal workspace and integrated information theories of consciousness’,2025,10.31219/osf.io/6mrzg_v1,https://doi.org/10.31219/osf.io/6mrzg_v1,Lionel Naccache; Claire Sergent; Stanislas Dehaene; xiao jing wang; Michele Farisco; Jean-Pierre Changeux,theory,Crossref,
12,"Oscar Ferrante, Rony Hirschhorn and Alex Lepauvre discuss putting integrated information and global neuronal workspace theories of consciousness to the test",2025,10.53053/mled2317,https://doi.org/10.53053/mled2317,Paul Middlebrooks,theory,Crossref,
12,The Reflexive Integrated Information Unit: A Differentiable Primitive for Artificial Consciousness,2025,,http://arxiv.org/abs/2506.13825v1,Gnankan Landry Regis N'guessan; Issa Karambal,theory,arXiv,
11,Predictive processing as a systematic basis for identifying the neural correlates of consciousness,2020,10.33735/phimisci.2020.ii.64,https://doi.org/10.33735/phimisci.2020.ii.64,Jakob Hohwy; Anil K. Seth,embodiment; measurement; theory,OpenAlex,163
10,The predictive global neuronal workspace: A formal active inference model of visual consciousness,2021,10.1016/j.pneurobio.2020.101918,https://doi.org/10.1016/j.pneurobio.2020.101918,Christopher J. Whyte; Ryan Smith,theory,Crossref,61
10,The Predictive Global Neuronal Workspace: A Formal Active Inference Model of Visual Consciousness,2020,10.1101/2020.02.11.944611,https://doi.org/10.1101/2020.02.11.944611,Christopher J. Whyte; Ryan Smith,embodiment; theory,Crossref,7
10,"Can ""consciousness"" be observed from large language model (LLM) internal states? Dissecting LLM representations obtained from Theory of Mind test with Integrated Information Theory and Span Representation analysis",2025,10.1016/j.nlp.2025.100163,http://arxiv.org/abs/2506.22516v1,Jingkai Li,artificial; theory,arXiv,
10,Integrated Information in the Active Inference Framework,2026,,http://arxiv.org/abs/2608.14165v1,Carlotta Langer; Jesse van Oostrum; Nihat Ay,embodiment; theory,arXiv,
10,"Interoceptive inference, emotion, and the embodied self",2013,10.1016/j.tics.2013.09.007,https://pubmed.ncbi.nlm.nih.gov/24126130/,Seth AK,embodiment,OpenAlex; PubMed,
10,The Global Workspace Needs Metacognition,2019,10.1016/j.tics.2019.04.007,https://pubmed.ncbi.nlm.nih.gov/31153773/,Shea N; Frith CD,measurement; theory,PubMed,
