seed,full_regulation,shuffled_regulation,no_memory_regulation,no_body_regulation,full_minus_shuffled
5201,1.0,0.333333,0.333333,0.25,0.666667
5202,0.916667,0.5,0.25,0.5,0.416667
5203,1.0,0.5,0.583333,0.5,0.5
5204,1.0,0.333333,0.5,0.333333,0.666667
5205,1.0,0.583333,0.583333,0.583333,0.416667
5206,1.0,0.5,0.583333,0.166667,0.5
5207,1.0,0.5,0.583333,0.75,0.5
5216,0.916667,0.666667,0.833333,0.583333,0.25
5226,1.0,0.416667,0.333333,0.416667,0.583333
5231,0.916667,0.5,0.25,0.666667,0.416667
5237,0.833333,0.5,0.5,0.666667,0.333333
5250,0.916667,0.75,0.25,0.5,0.166667
